Nr,Tytuł ,"Rok bitwy, kampanii lub wojny",Autor,Wydanie,Wikipedia_url,Lat,Lng
337,"Newel 1562",1562,"Marek Plewczyński","2023",https://pl.wikipedia.org/wiki/Newel_(Rosja),56.016666666666666,29.933333333333334
338,"Arras 1917",1917,"Witold Ławrynowicz","2023",https://pl.wikipedia.org/wiki/Bitwa_pod_Arras_(1917),50.28972222222222,2.7808333333333333
339,"Trembowla 1675",1675,"Marek Wagner","2023",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Kamie%C5%84ca_Podolskiego_(1672),48.68333333333333,26.583333333333332
340,"Tomaszów Lubelski 1939",1939,"Piotr Greszta","2023",https://pl.wikipedia.org/wiki/Bitwa_pod_Tomaszowem_Lubelskim,50.45,23.416700000000002
341,"Lenino 1943",1943,"Kamil Anduła","2023",https://pl.wikipedia.org/wiki/Bitwa_pod_Lenino,54.41711111111111,31.122194444444446
342,"Bibracte-Wogezy 58 p.n.e.",-58,"Tomasz Romanowski","2023",https://pl.wikipedia.org/wiki/Bitwa_u_st%C3%B3p_Wogez%C3%B3w,47.75,7.333333
343,"Pułtusk-Gołymin 1806",1806,"Szymon Jagodziński","2023",https://pl.wikipedia.org/wiki/Bitwa_pod_Go%C5%82yminem,52.81666666666667,20.866666666666667
344,"Kraj Głomaczów 1003",1003,"Mariusz Samp","2024",https://pl.wikipedia.org/wiki/Mi%C5%9Bnia,51.166666666666664,13.483333333333333
345,"Termopile 480 p.n.e.",-480,"Paweł Kupsik","2024",https://pl.wikipedia.org/wiki/Bitwa_pod_Termopilami,38.795833333333334,22.536944444444448
346,"Katanga 1960-1963",1960,"Daniel Kowalczuk","2024",https://pl.wikipedia.org/wiki/Katanga_(prowincja),-9.0,26.0
347,"Meksyk 1810-21",1810,"Jarosław Wojtczak","2024",https://pl.wikipedia.org/wiki/Meksyk,23.0,-102.0
348,"Morze Filipińskie 1944",1944,"Grzegorz Jeziorny","2024",https://pl.wikipedia.org/wiki/Bitwa_na_Morzu_Filipi%C5%84skim,20.0,130.0
349,"Bejrut 1982",1982,"Krzysztof Mroczkowski","2024",https://pl.wikipedia.org/wiki/Bejrut,33.88333333333333,35.5
350,"Lützen 1632",1632,"Marek Wagner","2024",https://pl.wikipedia.org/wiki/Bitwa_pod_L%C3%BCtzen_(1632),51.26777777777777,12.156666666666666
351,"Halidon Hill 1333",1333,"Cezary Namirski","2024",https://pl.wikipedia.org/wiki/Bitwa_pod_Halidon_Hill,55.7875,-2.05
352,"Tynne 1939",1939,"Grzegorz Cwyl","2024",https://pl.wikipedia.org/wiki/Tynne,51.161944444444444,26.762777777777778
353,"Askulum 90-89 p.n.e",-90,"Małgorzata Członkowska-Naumiuk","2024",https://pl.wikipedia.org/wiki/Bitwa_pod_Asculum_(89_p.n.e.),41.995,13.547222
354,"Frydland 1807",1807,"Szymon Jagodziński","2024",https://pl.wikipedia.org/wiki/Bitwa_pod_Frydlandem,54.45,21.016666666666666
355,"Nysa Łużycka-Łaba 1945",1945,"Leszek Kania","2024",https://pl.wikipedia.org/wiki/Operacja_berli%C5%84ska,52.51861111111111,13.376111111111111
356,"Dyrrachium 1081-1085",1081,"Robert F. Barkowski","2025",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Durazzo,41.3,19.5
357,"Nakło 1109",1109,"Mariusz Samp","2025",https://pl.wikipedia.org/wiki/Bitwa_pod_Nak%C5%82em_(1109),53.141666666666666,17.6
358,"Paardeberg 1900",1900,"Tomasz Greniuch","2025",https://pl.wikipedia.org/wiki/Bitwa_pod_Paardeberg,-28.982499999999998,25.093055555555555
359,"Gorlice-Tarnów 1915",1915,"Piotr Szlanta","2025",https://pl.wikipedia.org/wiki/Bitwa_pod_Gorlicami,49.654444,21.159167
360,"Szwecja 1598-1599",1598,"Wojciech Krawczuk","2025",https://pl.wikipedia.org/wiki/Bitwa_pod_Stegeborgiem,58.4342,16.5983
