Nr,Tytuł ,"Rok bitwy, kampanii lub wojny",Autor,Wydanie,Wikipedia_url,Lat,Lng
72,"Kunersdorf 1759",1759,"Mirosław G. Przeździecki","1997",https://pl.wikipedia.org/wiki/Bitwa_pod_Kunowicami,52.35305555555556,14.612777777777778
73,"Raszyn 1809",1809,"Romuald Romański","1997,2007",https://pl.wikipedia.org/wiki/Bitwa_pod_Raszynem_(1809),52.14945,20.91483611111111
74,"Ateny–Sparta 431–404 p.n.e.",-431,"Ryszard Kulesza","1997,2021,2025",https://pl.wikipedia.org/wiki/Bitwa_o_Sfakteri%C4%99,36.93013611111111,21.665725
75,"Little Big Horn 1876",1876,"Grzegorz Swoboda","1998,2017,2023",https://pl.wikipedia.org/wiki/Bitwa_nad_Little_Bighorn,45.57027777777778,-107.42758333333333
76,"Lwów 1918–1919",1918,"Michał Klimecki","1998,2011",https://pl.wikipedia.org/wiki/Bitwa_o_Lw%C3%B3w_(1918%E2%80%931919),49.83,24.0142
77,"Meksyk 1847",1847,"Jarosław Wojtczak","1998,2009,2021,2024",https://pl.wikipedia.org/wiki/Bitwa_pod_Chapultepec,19.421111111111113,-99.18194444444445
78,"Warszawa 1831",1831,"Tomasz Strzeżek","1998,201",https://pl.wikipedia.org/wiki/Atak_na_Belweder,52.21333333333334,21.02777777777778
79,"Ko Chang 1941",1941,"Józef Dyskant","1999,2003",https://pl.wikipedia.org/wiki/Bitwa_pod_Ko_Chang,12.001,102.45100000000001
80,"Kijów 1920",1920,"Lech Wyszczelski","1999",https://pl.wikipedia.org/wiki/Wyprawa_kijowska_(1920),50.45,30.5167
81,"Egipt 1798–1801",1798,"Tomasz Rogacki","1999",https://pl.wikipedia.org/wiki/Bitwa_pod_piramidami,30.083333333333332,31.2
82,"Głogów 1109",1109,"Karol Olejnik","1999",https://pl.wikipedia.org/wiki/Bitwa_na_Psim_Polu,51.144444444444446,17.116666666666667
83,"Iganie 1831",1831,"Tomasz Strzeżek","1999",https://pl.wikipedia.org/wiki/Bitwa_pod_Iganiami,52.1672,22.2106
84,"Łuk Donu 1942–1943",1942,"Péter Szabó","2000",https://pl.wikipedia.org/wiki/Bitwa_na_%C5%82uku_kurskim,51.7,36.1
85,"Naseby 1645",1645,"Jarosław Wojtczak","2000,2025",https://pl.wikipedia.org/wiki/Bitwa_pod_Naseby,52.41555555555556,-0.9952777777777777
