Nr ,Tytu³ ,"Rok bitwy, kampanii lub wojny ",Autor ,Wydanie 
324,Fontenoy 841 ,841,Robert F. Barkowski ,2022
325,Aleuty 1942–1943 ,1942,Micha³ A. Piegzik ,2022
326,Saint-Nazaire–Dieppe 1942 ,1942,Tomasz Jarmo³a ,2022
327,Powstanie wielkopolskie 1655–1657 ,1655,Bartosz Starêgowski ,2022
328,Czerniaków 1944 ,1944,Szymon Nowak ,2022
329,Las Argoñski 1918 ,1918,Jaros³aw Wojtczak ,2022
330,Mazowsze 1047 ,1047,Mariusz Samp ,2022
331,Oravais 1808 ,1808,Krzysztof Mazowski ,2023
332,Smyrna 1919–1922 ,1919,Stanis³aw Rek ,2023
333,Pomorze Zachodnie 1185 ,1185,Robert F. Barkowski ,2023
334,Kraków 1914 ,1914,Henryk £ukasik ,2023
335,Weje 405–396 p.n.e. ,-405,Daniel Gazda ,2023
336,Clontarf 1014 ,1014,Cezary Namirski ,2023
337,Newel 1562 ,1562,Marek Plewczyñski ,2023
338,Arras 1917 ,1917,Witold £awrynowicz ,2023
339,Trembowla 1675 ,1675,Marek Wagner ,2023
340,Tomaszów Lubelski 1939 ,1939,Piotr Greszta ,2023
341,Lenino 1943 ,1943,Kamil Andu³a ,2023
342,Bibracte-Wogezy 58 p.n.e. ,-58,Tomasz Romanowski ,2023
343,Pu³tusk-Go³ymin 1806 ,1806,Szymon Jagodziñski ,2023
344,Kraj G³omaczów 1003 ,1003,Mariusz Samp ,2024
345,Termopile 480 p.n.e. ,-480,Pawe³ Kupsik ,2024
346,Katanga 1960-1963 ,1960,Daniel Kowalczuk ,2024
347,Meksyk 1810-21 ,1810,Jaros³aw Wojtczak ,2024
348,Morze Filipiñskie 1944 ,1944,Grzegorz Jeziorny ,2024
349,Bejrut 1982 ,1982,Krzysztof Mroczkowski ,2024
350,Lützen 1632 ,1632,Marek Wagner ,2024
351,Halidon Hill 1333 ,1333,Cezary Namirski ,2024
352,Tynne 1939 ,1939,Grzegorz Cwyl ,2024
353,Askulum 90-89 p.n.e ,-90,Ma³gorzata Cz³onkowska-Naumiuk ,2024
354,Frydland 1807 ,1807,Szymon Jagodziñski ,2024
355,Nysa £u¿ycka-£aba 1945 ,1945,Leszek Kania ,2024
356,Dyrrachium 1081-1085 ,1081,Robert F. Barkowski ,2025
357,Nak³o 1109 ,1109,Mariusz Samp ,2025
358,Paardeberg 1900 ,1900,Tomasz Greniuch ,2025
359,Gorlice-Tarnów 1915 ,1915,Piotr Szlanta ,2025
360,Szwecja 1598-1599 ,1598,Wojciech Krawczuk ,2025
